Code,Notes,Course,Dur,Start Date, End Date, Type,Sec,Days,Time,Loc.,Inst.,Dept,CourseCode,
1464102,BB,ACTG 1P12 ,D3,2017/Jan/09,2017/Apr/07,LEC,2,F ,1400-1530,TA203,"Kenno,Staci",ACTG, 1P12, 
0,BB,ACTG 1P12 ,D3,2017/Jan/09,2017/Apr/07,LEC2,2,W ,1530-1700,TA203,"Kenno,Staci",ACTG, 1P12, 
1465103,BB,ACTG 1P12 ,D3,2017/Jan/09,2017/Apr/07,LEC,3, TF ,1530-1700,TA203,"Sohail,Tashfeen",ACTG, 1P12, 
1466104,BB,ACTG 1P12 ,D3,2017/Jan/09,2017/Apr/07,LEC,4,MR,1530-1700,TH258 ,"Skrubbeltrang,Glenn",ACTG, 1P12, 
1467105,BB,ACTG 1P12 ,D3,2017/Jan/09,2017/Apr/07,LEC,5,F ,1230-1400,TA203,"Kenno,Staci",ACTG, 1P12, 
0,BB,ACTG 1P12 ,D3,2017/Jan/09,2017/Apr/07,LEC2,5,W ,1400-1530,TA203,"Kenno,Staci",ACTG, 1P12, 
1468106,"BB,a",ACTG 1P12 ,D3,2017/Jan/09,2017/Apr/07,LEC,6,M ,800 -930 ,TA303,"Skrubbeltrang,Glenn",ACTG, 1P12, 
0,"BB,a",ACTG 1P12 ,D3,2017/Jan/09,2017/Apr/07,LEC2,6, R,1100-1230,TA303,"Skrubbeltrang,Glenn",ACTG, 1P12, 
1469107,"BB,a",ACTG 1P12 ,D3,2017/Jan/09,2017/Apr/07,LEC,7, T R,1400-1530,AS201,Tba,ACTG, 1P12, 
1470101,BB,ACTG 1P71 ,D3,2017/Jan/09,2017/Apr/07,LEC,1,M W ,1700-1830,TH245,Tba,ACTG, 1P71, 
1470102,BB,ACTG 1P71 ,D3,2017/Jan/09,2017/Apr/07,LEC,2, R,1700-1900,TH245,Tba,ACTG, 1P71, 
1470103,BB,ACTG 1P71 ,D3,2017/Jan/09,2017/Apr/07,LEC,3,W ,1900-2100,TH245,Tba,ACTG, 1P71, 
1470104,BB,ACTG 1P71 ,D3,2017/Jan/09,2017/Apr/07,LEC,4, T,1900-2100,TH245,Tba,ACTG, 1P71, 
1470201,,ACTG 1P71 ,D3,2017/Jan/09,2017/Apr/07,SEM1,1,M ,1900-2000,MCC304,,ACTG, 1P71, 
1470202,,ACTG 1P71 ,D3,2017/Jan/09,2017/Apr/07,SEM2,1,M ,1900-2000,MCD404,,ACTG, 1P71, 
1470203,,ACTG 1P71 ,D3,2017/Jan/09,2017/Apr/07,SEM3,1,M ,2000-2100,MCD303,,ACTG, 1P71, 
1470204,,ACTG 1P71 ,D3,2017/Jan/09,2017/Apr/07,SEM4,1,M ,2000-2100,MCG310,,ACTG, 1P71, 
1470205,,ACTG 1P71 ,D3,2017/Jan/09,2017/Apr/07,SEM5,1,M ,2100-2200,MCD303,,ACTG, 1P71, 
1470206,,ACTG 1P71 ,D3,2017/Jan/09,2017/Apr/07,SEM6,1,M ,2100-2200,MCG310,,ACTG, 1P71, 
1470207,,ACTG 1P71 ,D3,2017/Jan/09,2017/Apr/07,SEM7,1, T,1700-1800,MCD303,,ACTG, 1P71, 
1470208,,ACTG 1P71 ,D3,2017/Jan/09,2017/Apr/07,SEM8,1, T,1700-1800,MCD301,,ACTG, 1P71, 
1470209,,ACTG 1P71 ,D3,2017/Jan/09,2017/Apr/07,SEM9,1, T,1800-1900,MCD303,,ACTG, 1P71, 
1470210,,ACTG 1P71 ,D3,2017/Jan/09,2017/Apr/07,SEM 10,1, T,1800-1900,MCD301,,ACTG, 1P71, 
1470211,,ACTG 1P71 ,D3,2017/Jan/09,2017/Apr/07,SEM 11,1, T,2100-2200,MCD303,,ACTG, 1P71, 
1470212,,ACTG 1P71 ,D3,2017/Jan/09,2017/Apr/07,SEM 12,1, T,2100-2200,MCD301,,ACTG, 1P71, 
1470213,,ACTG 1P71 ,D3,2017/Jan/09,2017/Apr/07,SEM 13,1,W ,2100-2200,MCD304,,ACTG, 1P71, 
1470214,,ACTG 1P71 ,D3,2017/Jan/09,2017/Apr/07,SEM 14,1,W ,2100-2200,MCD303,,ACTG, 1P71, 
1470215,,ACTG 1P71 ,D3,2017/Jan/09,2017/Apr/07,SEM 15,1, R,1900-2000,MCD301,,ACTG, 1P71, 
1470216,,ACTG 1P71 ,D3,2017/Jan/09,2017/Apr/07,SEM 16,1, R,1900-2000,MCG310,,ACTG, 1P71, 
1470217,,ACTG 1P71 ,D3,2017/Jan/09,2017/Apr/07,SEM 17,1, R,2000-2100,MCD303,,ACTG, 1P71, 
1470218,,ACTG 1P71 ,D3,2017/Jan/09,2017/Apr/07,SEM 18,1, R,2000-2100,MCD301,,ACTG, 1P71, 
1470219,,ACTG 1P71 ,D3,2017/Jan/09,2017/Apr/07,SEM 19,1, R,2100-2200,MCD301,,ACTG, 1P71, 
1470220,,ACTG 1P71 ,D3,2017/Jan/09,2017/Apr/07,SEM 20,1, R,2100-2200,MCG310,,ACTG, 1P71, 
1470221,,ACTG 1P71 ,D3,2017/Jan/09,2017/Apr/07,SEM 21,1, T,1700-1800,MCD304,,ACTG, 1P71, 
1470222,,ACTG 1P71 ,D3,2017/Jan/09,2017/Apr/07,SEM 22,1,W ,2100-2200,MCD301,,ACTG, 1P71, 
1471101,BH,ACTG 1P91 ,D2,2016/Sep/07,2016/Dec/06,LEC,1, T R,1400-1530,TA303,"Ke,Y",ACTG, 1P91, 
1472102,BH,ACTG 1P91 ,D2,2016/Sep/07,2016/Dec/06,LEC,2, T R,800 -930 ,TA303,"Ke,Y",ACTG, 1P91, 
1473103,BH,ACTG 1P91 ,D2,2016/Sep/07,2016/Dec/06,LEC,3,MR,1530-1700,TA203,"Roubi,Omar",ACTG, 1P91, 
1474104,BH,ACTG 1P91 ,D2,2016/Sep/07,2016/Dec/06,LEC,4, TF ,1530-1700,TA303,"Squire, Mark",ACTG, 1P91, 
1475105,BH,ACTG 1P91 ,D2,2016/Sep/07,2016/Dec/06,LEC,5, T,1900-2200,TA303,"Elayan,Fayez",ACTG, 1P91, 
1476106,BH,ACTG 1P91 ,D2,2016/Sep/07,2016/Dec/06,LEC,6,F ,930 -1100,TA203,"Roubi,Omar",ACTG, 1P91, 
0,BH,ACTG 1P91 ,D2,2016/Sep/07,2016/Dec/06,LEC2,6, T,1100-1230,TA203,"Roubi,Omar",ACTG, 1P91, 
1477107,BH,ACTG 1P91 ,D2,2016/Sep/07,2016/Dec/06,LEC,7, T R,1700-1830,TH248,"Ke,Y",ACTG, 1P91, 
1478108,BH,ACTG 1P91 ,D2,2016/Sep/07,2016/Dec/06,LEC,8, R,1230-1400,TA303,"Roubi,Omar",ACTG, 1P91, 
0,BH,ACTG 1P91 ,D2,2016/Sep/07,2016/Dec/06,LEC2,8,M ,1400-1530,TA303,"Roubi,Omar",ACTG, 1P91, 
1480101,BH,ACTG 1P91 ,D3,2017/Jan/09,2017/Apr/07,LEC,1,M W ,930 -1100,TA303,"Ke,Y",ACTG, 1P91, 
1481102,BH,ACTG 1P91 ,D3,2017/Jan/09,2017/Apr/07,LEC,2, TF ,1530-1700,ST107 ,"Elayan,Fayez",ACTG, 1P91, 
1492101,BH,ACTG 2P12 ,D2,2016/Sep/07,2016/Dec/06,LEC,1, T R,930 -1100,TA303,"Bay, Darlene",ACTG, 2P12, 
1493102,"BH,er",ACTG 2P12 ,D2,2016/Sep/07,2016/Dec/06,LEC,2, T R,800 -930 ,AS216 ,"Bay, Darlene",ACTG, 2P12, 
1494103,BH,ACTG 2P12 ,D2,2016/Sep/07,2016/Dec/06,LEC,3,F ,1400-1530,TA303,"Herath, Hemantha",ACTG, 2P12, 
0,BH,ACTG 2P12 ,D2,2016/Sep/07,2016/Dec/06,LEC2,3,W ,1530-1700,TA303,"Herath, Hemantha",ACTG, 2P12, 
1498106,"BH,eg",ACTG 2P12 ,D2,2016/Sep/07,2016/Dec/06,WWW,6,,Online Course,ONLINE,"Cook, Gail Lynn",ACTG, 2P12, 
1499107,"BH,eg",ACTG 2P12 ,D2,2016/Sep/07,2016/Dec/06,WWW,7,,Online Course,ONLINE,"Cook, Gail Lynn",ACTG, 2P12, 
1495101,BH,ACTG 2P12 ,D3,2017/Jan/09,2017/Apr/07,LEC,1, T R,1400-1530,TA203,"Bay, Darlene",ACTG, 2P12, 
1496103,BH,ACTG 2P12 ,D3,2017/Jan/09,2017/Apr/07,LEC,3, T R,800 -930 ,TA203,"Roubi,Omar",ACTG, 2P12, 
1497104,"BH,eg",ACTG 2P12 ,D3,2017/Jan/09,2017/Apr/07,WWW,4,,Online Course,ONLINE,"Cook, Gail Lynn",ACTG, 2P12, 
1500101,BH,ACTG 2P21 ,D3,2017/Jan/09,2017/Apr/07,LEC,1,W ,800 -930 ,TA403,"Herath, Hemantha",ACTG, 2P21, 
0,BH,ACTG 2P21 ,D3,2017/Jan/09,2017/Apr/07,LEC2,1,F ,1100-1230,TA403,"Herath, Hemantha",ACTG, 2P21, 
1501102,BH,ACTG 2P21 ,D3,2017/Jan/09,2017/Apr/07,LEC,2,MR,1530-1700,TA307,"Herath, Hemantha",ACTG, 2P21, 
1502103,BH,ACTG 2P21 ,D3,2017/Jan/09,2017/Apr/07,LEC,3, R,1230-1400,TA307,"Herath, Hemantha",ACTG, 2P21, 
0,BH,ACTG 2P21 ,D3,2017/Jan/09,2017/Apr/07,LEC2,3,M ,1400-1530,TA307,"Herath, Hemantha",ACTG, 2P21, 
1503104,"BH,a",ACTG 2P21 ,D3,2017/Jan/09,2017/Apr/07,LEC,4, T R,1400-1530,TA405,Tba,ACTG, 2P21, 
1504101,BH,ACTG 2P31 ,D2,2016/Sep/07,2016/Dec/06,LEC,1,M W ,930 -1100,TA309,"Pacharn,Parunchana",ACTG, 2P31, 
1505102,BH,ACTG 2P31 ,D2,2016/Sep/07,2016/Dec/06,LEC,2, T R,930 -1100,TA405,"Pacharn,Parunchana",ACTG, 2P31, 
1506103,BH,ACTG 2P31 ,D2,2016/Sep/07,2016/Dec/06,LEC,3,M W ,1100-1230,TA309,"Pacharn,Parunchana",ACTG, 2P31, 
1507104,BH,ACTG 2P31 ,D2,2016/Sep/07,2016/Dec/06,LEC,4, T R,800 -930 ,MCH313,"Skrubbeltrang,Glenn",ACTG, 2P31, 
1509106,BH,ACTG 2P31 ,D2,2016/Sep/07,2016/Dec/06,LEC,6, T R,1400-1530,TA309,"Skrubbeltrang,Glenn",ACTG, 2P31, 
1510107,BH,ACTG 2P31 ,D2,2016/Sep/07,2016/Dec/06,LEC,7,W ,800 -930 ,TA307,"Skrubbeltrang,Glenn",ACTG, 2P31, 
0,BH,ACTG 2P31 ,D2,2016/Sep/07,2016/Dec/06,LEC2,7,F ,1100-1230,TA307,"Skrubbeltrang,Glenn",ACTG, 2P31, 
1511101,BH,ACTG 2P31 ,D3,2017/Jan/09,2017/Apr/07,LEC,1,M W ,930 -1100,PL410,"Pacharn,Parunchana",ACTG, 2P31, 
1512101,BH,ACTG 2P32 ,D3,2017/Jan/09,2017/Apr/07,LEC,1, T R,1400-1530,TA309,"Roubi,Raafat",ACTG, 2P32, 
1513102,BH,ACTG 2P32 ,D3,2017/Jan/09,2017/Apr/07,LEC,2,M W ,1100-1230,TA309,"Roubi,Raafat",ACTG, 2P32, 
1514103,BH,ACTG 2P32 ,D3,2017/Jan/09,2017/Apr/07,LEC,3,F ,800 -930 ,TA403,"Zhang,Xia",ACTG, 2P32, 
0,BH,ACTG 2P32 ,D3,2017/Jan/09,2017/Apr/07,LEC2,3, T,1230-1400,TA403,"Zhang,Xia",ACTG, 2P32, 
1515104,BH,ACTG 2P32 ,D3,2017/Jan/09,2017/Apr/07,LEC,4, T R,800 -930 ,TA403,Tba,ACTG, 2P32, 
1516101,BM,ACTG 2P40 ,D2,2016/Sep/07,2016/Dec/06,LEC,1,M W ,1700-1830,TA303 ,"Bush, Pat",ACTG, 2P40, 
1517102,BM,ACTG 2P40 ,D2,2016/Sep/07,2016/Dec/06,LEC,2,W ,1900-2200,TH255,"Maloney,P",ACTG, 2P40, 
1518103,BM,ACTG 2P40 ,D2,2016/Sep/07,2016/Dec/06,LEC,3, T,1900-2200,TH256,"Wall,Thomas",ACTG, 2P40, 
1519104,BM,ACTG 2P40 ,D2,2016/Sep/07,2016/Dec/06,LEC,4,M ,1900-2200,TH257,"Troup,Brad",ACTG, 2P40, 
1520105,BM,ACTG 2P40 ,D2,2016/Sep/07,2016/Dec/06,LEC,5, R,1900-2200,TA203,"Book,K",ACTG, 2P40, 
1521101,BM,ACTG 2P40 ,D3,2017/Jan/09,2017/Apr/07,LEC,1,W ,1900-2200,TH257,Tba,ACTG, 2P40, 
1522102,BM,ACTG 2P40 ,D3,2017/Jan/09,2017/Apr/07,LEC,2,M W ,1700-1830,TH257,Actgtba2,ACTG, 2P40, 
1523101,PY,ACTG 2P51 ,D3,2017/Jan/09,2017/Apr/07,WWW ,1,,Online Course,TBS,"Cook, Gail Lynn",ACTG, 2P51, 
1525101,BH,ACTG 3P11 ,D3,2017/Jan/09,2017/Apr/07,LEC,1, R,1230-1400,TA309,"Hollo,Sangeeta",ACTG, 3P11, 
0,BH,ACTG 3P11 ,D3,2017/Jan/09,2017/Apr/07,LEC2,1,M ,1400-1530,TA309,"Hollo,Sangeeta",ACTG, 3P11, 
1526102,BH,ACTG 3P11 ,D3,2017/Jan/09,2017/Apr/07,LEC,2,F ,1400-1530,TA307,"Hollo,Sangeeta",ACTG, 3P11, 
0,BH,ACTG 3P11 ,D3,2017/Jan/09,2017/Apr/07,LEC2,2,W ,1530-1700,TA307,"Hollo,Sangeeta",ACTG, 3P11, 
1527103,BH,ACTG 3P11 ,D3,2017/Jan/09,2017/Apr/07,LEC,3,MR,1530-1700,TA405,"Chasse,Norman",ACTG, 3P11, 
1528104,"BH,a",ACTG 3P11 ,D3,2017/Jan/09,2017/Apr/07,LEC,4,MR,1530-1700,TA309,Tba,ACTG, 3P11, 
1532101,BB,ACTG 3P23 ,D2,2016/Sep/07,2016/Dec/06,WWW,1,,Online Course,ONLINE,"Zhang,Xia",ACTG, 3P23, 
1531103,"BB,a",ACTG 3P23 ,D3,2017/Jan/09,2017/Apr/07,LEC,3,F ,930 -1100,TA403,Tba,ACTG, 3P23, 
0,"BB,a",ACTG 3P23 ,D3,2017/Jan/09,2017/Apr/07,LEC2,3, T,1100-1230,TA403,,ACTG, 3P23, 
1529104,BB,ACTG 3P23 ,D3,2017/Jan/09,2017/Apr/07,BLD,4,W ,800 -930 ,TA309,"Shome, Anamitra",ACTG, 3P23, 
0,BB,ACTG 3P23 ,D3,2017/Jan/09,2017/Apr/07,BLD2,4,F ,1100-1230,TA309,"Shome, Anamitra",ACTG, 3P23, 
1530105,BB,ACTG 3P23 ,D3,2017/Jan/09,2017/Apr/07,BLD,5, T R,930 -1100,TA309,"Shome, Anamitra",ACTG, 3P23, 
1533101,"LA,NE",ACTG 3P33 ,D2,2016/Sep/07,2016/Dec/06,LEC,1,M W ,1230-1400,TH256,"Roubi,Raafat",ACTG, 3P33, 
1534102,"LA,NE",ACTG 3P33 ,D2,2016/Sep/07,2016/Dec/06,LEC,2,M W ,1100-1230,TA403,"Roubi,Raafat",ACTG, 3P33, 
1535103,"LA,NE",ACTG 3P33 ,D2,2016/Sep/07,2016/Dec/06,LEC,3, T R,800 -930 ,TA307,"Roubi,Omar",ACTG, 3P33, 
1536101,BB,ACTG 3P41 ,D2,2016/Sep/07,2016/Dec/06,LEC,1,M W ,1100-1230,TA307,"Espinoza,Michael",ACTG, 3P41, 
1537102,BB,ACTG 3P41 ,D2,2016/Sep/07,2016/Dec/06,LEC,2,M W ,1230-1400,TA405,"Espinoza,Michael",ACTG, 3P41, 
1538103,BB,ACTG 3P41 ,D2,2016/Sep/07,2016/Dec/06,LEC,3, T R,930 -1100,TA307,"Espinoza,Michael",ACTG, 3P41, 
1539104,BB,ACTG 3P41 ,D2,2016/Sep/07,2016/Dec/06,LEC,4, T R,800 -930 ,TA403,"Espinoza,Michael",ACTG, 3P41, 
1540105,BB,ACTG 3P41 ,D2,2016/Sep/07,2016/Dec/06,LEC,5, TF ,1530-1700,TA405,"Young, Allister W.",ACTG, 3P41, 
1541106,BB,ACTG 3P41 ,D2,2016/Sep/07,2016/Dec/06,LEC,6,MR,1530-1700,TA309,"Young, Allister W.",ACTG, 3P41, 
1542107,BB,ACTG 3P41 ,D2,2016/Sep/07,2016/Dec/06,LEC,7,M ,1900-2200,TA309,"Espinoza,Michael",ACTG, 3P41, 
1543101,BB,ACTG 3P41 ,D3,2017/Jan/09,2017/Apr/07,LEC,1, T R,800 -930 ,TA309,"Donnelly, Maureen E",ACTG, 3P41, 
1544101,BH,ACTG 3P97 ,D2,2016/Sep/07,2016/Dec/06,LEC,1,F ,1230-1400,MCA203,"Nikitkov,Alex",ACTG, 3P97, 
0,BH,ACTG 3P97 ,D2,2016/Sep/07,2016/Dec/06,LEC2,1,W ,1400-1530,MCA203,"Nikitkov,Alex",ACTG, 3P97, 
1545102,BH,ACTG 3P97 ,D2,2016/Sep/07,2016/Dec/06,LEC,2,MR,1530-1700,MCA203,"Zhang,Xia",ACTG, 3P97, 
1546103,"BH,ke",ACTG 3P97 ,D2,2016/Sep/07,2016/Dec/06,LEC,3,F ,1400-1530,MCA203,"Nikitkov,Alex",ACTG, 3P97, 
0,"BH,ke",ACTG 3P97 ,D2,2016/Sep/07,2016/Dec/06,LEC2,3,W ,1530-1700,MCA203,"Nikitkov,Alex",ACTG, 3P97, 
1547104,BH,ACTG 3P97 ,D2,2016/Sep/07,2016/Dec/06,LEC,4, R,1230-1400,MCA203,"Zhang,Xia",ACTG, 3P97, 
0,BH,ACTG 3P97 ,D2,2016/Sep/07,2016/Dec/06,LEC2,4,M ,1400-1530,MCA203,"Zhang,Xia",ACTG, 3P97, 
1548105,BH,ACTG 3P97 ,D2,2016/Sep/07,2016/Dec/06,LEC,5,F ,800 -930 ,MCJ201,"Nikitkov,Alex",ACTG, 3P97, 
0,BH,ACTG 3P97 ,D2,2016/Sep/07,2016/Dec/06,LEC2,5, T,1230-1400,MCJ201,"Nikitkov,Alex",ACTG, 3P97, 
1549106,BH,ACTG 3P97 ,D2,2016/Sep/07,2016/Dec/06,LEC,6, T R,800 -930 ,MCA203,"Nikitkov,Alex",ACTG, 3P97, 
1550107,BH,ACTG 3P97 ,D2,2016/Sep/07,2016/Dec/06,LEC,7, T R,1700-1830,MCJ201,"Nikitkov,Alex",ACTG, 3P97, 
1551101,BH,ACTG 3P97 ,D3,2017/Jan/09,2017/Apr/07,LEC,1,MR,1530-1700,MCA203,"Zhang,Xia",ACTG, 3P97, 
2571101,KI,ACTG 4P03 ,D2,2016/Sep/07,2016/Dec/06,LEC,1,MR,1530-1700,TA303 ,"Lazrak, Skander",ACTG, 4P03, 
2572101,KI,ACTG 4P03 ,D3,2017/Jan/09,2017/Apr/07,LEC,1,M W ,1100-1230,TA307 ,"Lazrak, Skander",ACTG, 4P03, 
1552101,"EX,FL,LA",ACTG 4P11 ,D2,2016/Sep/07,2016/Dec/06,LEC,1,F ,1400-1530,TA307 ,"Brown,Kareen",ACTG, 4P11, 
0,"EX,FL,LA",ACTG 4P11 ,D2,2016/Sep/07,2016/Dec/06,LEC2,1,W ,1530-1700,TA307 ,"Brown,Kareen",ACTG, 4P11, 
1553102,"EX,FL,LA",ACTG 4P11 ,D2,2016/Sep/07,2016/Dec/06,LEC,2,F ,800 -930 ,TA403,"Brown,Kareen",ACTG, 4P11, 
0,"EX,FL,LA",ACTG 4P11 ,D2,2016/Sep/07,2016/Dec/06,LEC2,2, T,1230-1400,TA403,"Brown,Kareen",ACTG, 4P11, 
1554103,"EX,FL,LA",ACTG 4P11 ,D2,2016/Sep/07,2016/Dec/06,LEC,3,M W ,1100-1230,TH147,"Brown,Kareen",ACTG, 4P11, 
1555104,"EX,FL,LA",ACTG 4P11 ,D2,2016/Sep/07,2016/Dec/06,LEC,4,F ,1230-1400,TA203 ,"Brown,Kareen",ACTG, 4P11, 
0,"EX,FL,LA",ACTG 4P11 ,D2,2016/Sep/07,2016/Dec/06,LEC2,4,W ,1400-1530,TA203 ,"Brown,Kareen",ACTG, 4P11, 
1556101,"BB,FL",ACTG 4P11 ,D3,2017/Jan/09,2017/Apr/07,LEC,1,M W ,1100-1230,TA203,"Brown,Kareen",ACTG, 4P11, 
1557102,"BB,FL,a",ACTG 4P11 ,D3,2017/Jan/09,2017/Apr/07,LEC,2, T R,1400-1530,PL410,Actgtba2,ACTG, 4P11, 
1558101,"EX,FL,LA",ACTG 4P12 ,D2,2016/Sep/07,2016/Dec/06,LEC,1,MR,1530-1700,TA307,"Hollo,Sangeeta",ACTG, 4P12, 
1559102,"EX,FL,LA",ACTG 4P12 ,D2,2016/Sep/07,2016/Dec/06,LEC,2,F ,930 -1100,TA309,"Hollo,Sangeeta",ACTG, 4P12, 
0,"EX,FL,LA",ACTG 4P12 ,D2,2016/Sep/07,2016/Dec/06,LEC2,2, T,1100-1230,TA309,"Hollo,Sangeeta",ACTG, 4P12, 
1560103,"EX,FL,LA",ACTG 4P12 ,D2,2016/Sep/07,2016/Dec/06,LEC,3, TF ,1530-1700,TA309,"Hollo,Sangeeta",ACTG, 4P12, 
1562101,"BB,FL",ACTG 4P12 ,D3,2017/Jan/09,2017/Apr/07,LEC,1,M W ,930 -1100,TA403,"Hollo,Sangeeta",ACTG, 4P12, 
1563102,"BB,FL",ACTG 4P12 ,D3,2017/Jan/09,2017/Apr/07,LEC,2,F ,1230-1400,TA309,"Hollo,Sangeeta",ACTG, 4P12, 
0,"BB,FL",ACTG 4P12 ,D3,2017/Jan/09,2017/Apr/07,LEC2,2,W ,1400-1530,TA309,"Hollo,Sangeeta",ACTG, 4P12, 
1564103,"BB,FL,a",ACTG 4P12 ,D3,2017/Jan/09,2017/Apr/07,LEC,3,M W ,930 -1100,TA307,Tba,ACTG, 4P12, 
1565101,"LA,NE",ACTG 4P34 ,D2,2016/Sep/07,2016/Dec/06,LEC,1,F ,1230-1400,TH256,"Chasse,Norman",ACTG, 4P34, 
0,"LA,NE",ACTG 4P34 ,D2,2016/Sep/07,2016/Dec/06,LEC2,1,W ,1400-1530,TH256,"Chasse,Norman",ACTG, 4P34, 
1566102,"LA,NE",ACTG 4P34 ,D2,2016/Sep/07,2016/Dec/06,LEC,2, R,1230-1400,TA309 ,"Chasse,Norman",ACTG, 4P34, 
0,"LA,NE",ACTG 4P34 ,D2,2016/Sep/07,2016/Dec/06,LEC2,2,M ,1400-1530,TA309 ,"Chasse,Norman",ACTG, 4P34, 
1567103,"LA,NE",ACTG 4P34 ,D2,2016/Sep/07,2016/Dec/06,LEC,3,M W ,930 -1100,PL409,"Chasse,Norman",ACTG, 4P34, 
1568101,BB,ACTG 4P34 ,D3,2017/Jan/09,2017/Apr/07,LEC,1, T R,930 -1100,TA403 ,"Liu,Frank",ACTG, 4P34, 
1569101,"EM,FH,LV",ACTG 4P40 ,D2,2016/Sep/07,2016/Dec/06,LEC,1, T R,1400-1530,TA403,"Espinoza,Michael",ACTG, 4P40, 
1571101,BB,ACTG 4P41 ,D2,2016/Sep/07,2016/Dec/06,LEC,1,M W ,1700-1830,TA403,"Espinoza,Michael",ACTG, 4P41, 
1572102,BB,ACTG 4P41 ,D2,2016/Sep/07,2016/Dec/06,LEC,2,F ,1400-1530,TA405,"Donnelly, Maureen E",ACTG, 4P41, 
0,BB,ACTG 4P41 ,D2,2016/Sep/07,2016/Dec/06,LEC2,2,W ,1530-1700,TA405,"Donnelly, Maureen E",ACTG, 4P41, 
1573103,BB,ACTG 4P41 ,D2,2016/Sep/07,2016/Dec/06,LEC,3,F ,1230-1400,TA309,"Donnelly, Maureen E",ACTG, 4P41, 
0,BB,ACTG 4P41 ,D2,2016/Sep/07,2016/Dec/06,LEC2,3,W ,1400-1530,TA309,"Donnelly, Maureen E",ACTG, 4P41, 
1575101,BB,ACTG 4P41 ,D3,2017/Jan/09,2017/Apr/07,LEC,1,F ,1400-1530,TH246,"Donnelly, Maureen E",ACTG, 4P41, 
0,BB,ACTG 4P41 ,D3,2017/Jan/09,2017/Apr/07,LEC2,1,W ,1530-1700,TH246,"Donnelly, Maureen E",ACTG, 4P41, 
1576101,BB,ACTG 4P42 ,D3,2017/Jan/09,2017/Apr/07,LEC,1, TF ,1530-1700,TA307,Tba,ACTG, 4P42, 
1577102,BB,ACTG 4P42 ,D3,2017/Jan/09,2017/Apr/07,LEC,2, T R,1400-1530,TA403,Tba,ACTG, 4P42, 
1578103,"BB,a",ACTG 4P42 ,D3,2017/Jan/09,2017/Apr/07,LEC,3,M W ,1230-1400,TA307,Tba,ACTG, 4P42, 
